ResponseId,StartDate,Progress,Duration (in seconds),LocationLatitude,LocationLongitude,1,1_6_TEXT,2,2_15_TEXT,3,4,5,6,7,8,9,9_2_TEXT,10,11,12_1,13,14,15,16,17_1,18,19,20,20_5_TEXT,21,21_4_TEXT,22,23,24,25,25_2_TEXT,26_1,27,28,29,29_6_TEXT,30,31,32,33_1,34,35_1,36,37,37_4_TEXT,38,39,40,41,41_5_TEXT,42,43,44,44_3_TEXT,45,46,47,48,49#1_1_1,49#1_1_2,49#1_2_1,49#1_2_2,49#1_3_1,49#1_3_2,49#1_4_1,49#1_4_2,49#1_5_1,49#1_5_2,49#1_6_1,49#1_6_2,49#2_1_1,49#2_1_2,49#2_2_1,49#2_2_2,49#2_3_1,49#2_3_2,49#2_4_1,49#2_4_2,49#2_5_1,49#2_5_2,49#2_6_1,49#2_6_2,50,50_3_TEXT,51,52,53,54,55,56,57,58,59,59_4_TEXT,60,61,62,63,64,65_1,66,67
R_dFgKWDac1qXbGbU,2/20/2026 10:44:48,100,150,5.692088,-0.144889,Alex,NA,"Akuvi,Peace",NA,GROW Project,"Yes, this is not the first project we have done at this school.",Fawotrikosie,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, they library was provided by EPI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,Receivers and new Rachel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_lVxj3BaCTe6EHiV,2/20/2026 10:50:26,100,168,5.692098,-0.1449,Alex,NA,"Akuvi,Peace",NA,"Library, GROW Project","Yes, this is not the first project we have done at this school.",Wurudu Wurudu,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"yes, Shelves",NA,yes,English,"Yes, they library was provided by EPI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_kHfbaHYJei1H96o,2/20/2026 10:56:17,100,58,5.692089,-0.144889,Alex,NA,"Akuvi,Peace",NA,"Library, GROW Project","Yes, this is not the first project we have done at this school.",Amuyaokope,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"yes, Shelves",NA,yes,English,"Yes, they library was provided by EPI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_20Fg0hYlUMNe8Yz,3/7/2026 3:00:56,100,153,5.692131,-0.14489,Alex,NA,"Akuvi,Peace",NA,"Library, GROW Project","Yes, this is not the first project we have done at this school.",Pediatorkope,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"yes, Shelves",NA,yes,English,"Yes, they library was provided by EPI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other:,Menstrual kits and receivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
R_knjqu2sz3WJpKxo,3/11/2026 7:48:42,100,81,5.764554,0.057491,Alex,NA,"Isaac,Akuvi,Peace,Ben",NA,Starlink,"Yes, this is not the first project we have done at this school.",Pediatorkope,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,"Yes, we removed a RACHEL and it was working perfectly",NA,11th March 2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
R_a2T9QbasHB9JEHg,2026-03-14 7:34:50,100,NA,NA,-0.1902,Alex,"Isaac, Alex, Richard, Akuvi, Peace, Other:","Isaac, Richard, Akuvi, Peace, Ben, Betsy, Jeff, Other:","Isaac, Richard, Akuvi, Peace, Ben, Betsy, Jeff, Luke, Jane Isaac, Darian and Lexis",Building Construction,"Yes, this is not the first project we have done at this school.",Mobia,NA,NA,NA,Yes,"Our TEAMS, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Teacher Bungalow,NA,4,11th march 2025,14th March 2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
R_6U6BEkn9LF7QS9S,2026-03-17 6:17:30,100,NA,NA,-0.1902,Alex,"Isaac, Alex, Richard, Akuvi, Peace, Other:","Isaac, Richard, Akuvi, Peace, Ben, Jeff, Other:","Isaac, Richard, Akuvi, Peace, Ben, Jeff, Luke, Isaac, and jane",Starlink,"Yes, this is not the first project we have done at this school.",Alorkpem Island,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Yes, No, it's being installed somewhere else (Please specify where):","Yes, we removed a RACHEL and it was working perfectly",NA,17/03/2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
R_0UD3Ycw4oETawDX,2026-03-24 5:26:27,100,NA,NA,-0.1902,Alex,"Isaac, Alex, Richard, Akuvi, Peace, Other:","Isaac, Alex, Richard, Akuvi, Peace, Anna, Amy, Ben","Isaac, Alex, Richard, Akuvi, Peace, Anna, Amy, Ben","Science Kit Distribution, Menstrual Kit Distribution","No, this is our first time doing any EPI project at this school.",NA,Avadre Basic school,207,"6.3013466,0.6896205",No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Yes,NA,32,"Students, Teachers, Parents",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_abGo4fouGdfXvJx,2026-05-11 6:43:15,100,NA,NA,-0.1902,Richard,"Isaac, Alex, Richard, Akuvi, Peace, Other:","Isaac, Alex, Richard","Isaac, Alex, Richard",Solar Project for Lanterns Specifically (No MGR),"Yes, this is not the first project we have done at this school.",Apaah DA Basic School,NA,NA,NA,No,No,NA,NA,10,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, that is the purpose of this solar project","Yes, that is the purpose of this solar project, No, (please explain why this is being installed)",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The purpose was to seperate the JHS from the primary due to distance to the charging station
R_3aG5clESsgU9lzy,2026-05-12 4:46:39,100,NA,NA,-0.1902,Alex,"Isaac, Alex, Richard, Akuvi, Peace, Other:","Isaac, Alex","Isaac, Alex",Solar Project for Lanterns Specifically (No MGR),"Yes, this is not the first project we have done at this school.",Akwansu,NA,NA,NA,No,No,NA,NA,10,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, that is the purpose of this solar project","Yes, that is the purpose of this solar project, No, (please explain why this is being installed)",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
R_hMdqHYILULVWvD7,2026-05-14 14:08:47,100,NA,NA,-0.1902,Richard,"Isaac, Alex, Richard, Akuvi, Peace, Other:",No one,No one,Solar Project for Lanterns Specifically (No MGR),"Yes, this is not the first project we have done at this school.",Mosipanin,NA,NA,NA,No,No,NA,NA,5,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, (please explain why this is being installed)","Yes, that is the purpose of this solar project, This will provide a solution to recharging the battery every vist due to large usage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_i29xKUY9qTWJWKG,2026-05-14 23:51:08,100,NA,NA,-0.1902,Akuvi,"Isaac, Alex, Richard, Akuvi, Peace, Other:",Peace,Peace,Menstrual Kit Distribution,"No, this is our first time doing any EPI project at this school.",NA,Salaam Islamic School,1500,"8.386937,-13.151950",Yes,The Muademah Foundation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,"Students, Teachers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The girls were extremely enthusiastic and receptive of the kits
R_njdHhcgmJPuJTVj,2026-05-29 10:24:12,100,NA,NA,-0.1902,Richard,"Isaac, Alex, Richard, Akuvi, Peace, Other:","Isaac, Alex, Richard, Akuvi, Peace","Isaac, Alex, Richard, Akuvi, Peace",Menstrual Kit Distribution,"No, this is our first time doing any EPI project at this school.",NA,Trekume,220,"5.91934° N, 0.78636° E",Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,"Students, Teachers, Parents, Other:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Total of Nine schools were invited. Due to rains seven were able to attend.
R_0yCfJT1DEJo33ec,2026-06-02 4:55:26,100,NA,NA,-0.1902,Richard,"Isaac, Alex, Richard, Akuvi, Peace, Other:","Isaac, Alex, Richard","Isaac, Alex, Richard",Solar Project for Lanterns Specifically (No MGR),"Yes, this is not the first project we have done at this school.",Apaah DA Basic School,NA,NA,NA,No,No,NA,NA,10,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, that is the purpose of this solar project","Yes, that is the purpose of this solar project, No, (please explain why this is being installed)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
